id,chain,address,category,name,source
9f1b6c40-0005-4a00-8000-000000000001,SOLANA,42RLPACwZPx3vYYmxSueqsogfynBDqXK298EDsNoyoHi,SANCTION,OFAC SDN listed,OFAC SDN
9f1b6c40-0005-4a00-8000-000000000002,SOLANA,Fc1EwQUZyTEagaDvA1utHXCcZNyG1x2PLt2DfNu1cJdH,SANCTION,OFAC SDN listed,OFAC SDN
9f1b6c40-0005-4a00-8000-000000000003,SOLANA,FuCC7GoYwt5TsNTjWL23Xx9UKCvC18chjMEFPL3vJDCC,SANCTION,OFAC SDN listed,OFAC SDN
9f1b6c40-0006-4a00-8000-000000000001,SOLANA,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,EXCHANGE,Binance 2,curated
9f1b6c40-0006-4a00-8000-000000000002,SOLANA,2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,EXCHANGE,Coinbase 2,curated
9f1b6c40-0006-4a00-8000-000000000003,SOLANA,GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,EXCHANGE,Coinbase Hot Wallet 2,curated
9f1b6c40-0006-4a00-8000-000000000004,SOLANA,D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,EXCHANGE,Coinbase Hot Wallet 3,curated
9f1b6c40-0006-4a00-8000-000000000005,SOLANA,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,EXCHANGE,OKX Hot Wallet,curated
9f1b6c40-0006-4a00-8000-000000000006,SOLANA,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,EXCHANGE,OKX Hot Wallet 2,curated
